#Re    B    Pr    Pe    BPe    lb    ub    avg_uh    tdisp    mdisp    eta (local)    eta (global)    lam tdisp    lam mdisp    lam eta (local)    lam eta (global)    lam_Fr tdisp    lam_Fr mdisp    lam_Fr eta (local)    lam_Fr eta (global)    lam_Fr_vortz tdisp    lam_Fr_vortz mdisp    lam_Fr_vortz eta (local)    lam_Fr_vortz eta (global)    turb tdisp    turb mdisp    turb eta (local)    turb eta (global)    turb_Fr tdisp    turb_Fr mdisp    turb_Fr eta (local)    turb_Fr eta (global)    turb_Fr_vortz tdisp    turb_Fr_vortz mdisp    turb_Fr_vortz eta (local)    turb_Fr_vortz eta (global)    vlam    vturb    vlam_Fr    vturb_Fr    vlam_Fr_vortz    vturb_Fr_vortz    wrms    lam wrms    turb wrms    lam_Fr wrms    turb_Fr wrms    lam_Fr_vortz wrms    turb_Fr_vortz wrms    lam wrms wght    turb wrms wght    lam wrms eff wght    turb wrms eff wght    
3.0003e+02    1.0000e+01    1.0000e-01    3.0003e+01    3.0003e+02    6.0000e+01    1.6000e+02    2.1782e+00    1.0438e+00    1.3456e+02    4.4935e-01    4.3845e-01    9.5920e-01    7.3307e+01    5.2674e-01    5.6627e-01    1.0893e+00    1.6659e+02    4.0778e-01    3.9631e-01    9.5726e-01    7.1996e+01    5.3050e-01    5.7007e-01    1.0722e+00    1.5430e+02    4.2312e-01    4.1120e-01    9.6131e-01    7.6042e+01    5.1905e-01    5.5789e-01    1.1205e+00    1.8793e+02    3.8384e-01    3.7409e-01    3.4998e-01    6.5002e-01    2.4517e-01    7.5483e-01    4.8396e-01    5.1604e-01    -5.4593e-11    7.0340e-04    -4.3586e-04    1.9794e-04    -9.1985e-05    8.3238e-04    -9.1738e-04    nan    9.3821e-01    nan    4.3469e-01    
# Index 022: Re = 300.03, Pe =  30.00, B = 100.00
3.0003e+02    1.0000e+02    1.0000e-01    3.0003e+01    3.0003e+03    3.0000e+02    1.2000e+03    2.5206e+00    4.3135e-02    1.1125e+02    3.4604e-01    2.7485e-01    3.5336e-02    8.5193e+01    3.5429e-01    2.9016e-01    1.0639e-01    3.2977e+02    2.7242e-01    2.3619e-01    3.1579e-02    7.6235e+01    3.5974e-01    2.9049e-01    7.8768e-02    2.2076e+02    3.0082e-01    2.5679e-01    3.8242e-02    9.4447e+01    3.4965e-01    2.8482e-01    1.5705e-01    5.3381e+02    2.4449e-01    2.1901e-01    8.9760e-01    1.0240e-01    7.5875e-01    2.4125e-01    9.6425e-01    3.5752e-02    1.4437e-12    -5.4281e-05    2.0776e-04    -4.4675e-05    7.1451e-05    -3.8140e-05    5.6746e-04    nan    4.7542e-01    nan    1.8868e-01    
# Index 023: Re = 300.03, Pe =  30.00, B = 1000.00
3.0003e+02    1.0000e+03    1.0000e-01    3.0003e+01    3.0003e+04    8.0000e+02    1.3000e+03    3.3497e+00    2.7324e-03    1.6634e+02    1.8043e-01    1.4160e-01    2.7147e-03    1.6552e+02    1.8041e-01    1.4148e-01    nan    nan    2.8923e-01    nan    2.3331e-03    1.5715e+02    1.7363e-01    1.3014e-01    7.1602e-03    2.6449e+02    2.6314e-01    2.1627e-01    2.7321e-03    1.6633e+02    1.8043e-01    1.4160e-01    nan    nan    1.2924e-02    nan    9.9772e-01    2.2826e-03    9.1674e-01    8.3257e-02    9.9999e-01    6.6014e-06    2.2006e-13    -9.6873e-07    nan    8.3349e-06    -7.6203e-05    4.4696e-08    nan    nan    2.4867e-02    nan    7.4527e-03    
# Index 024: Re = 300.03, Pe =  30.00, B = 10000.00
3.0003e+02    1.0000e+04    1.0000e-01    3.0003e+01    3.0003e+05    1.0500e+03    1.4500e+03    2.5262e+00    6.7045e-05    1.3840e+02    7.9605e-02    4.6008e-02    6.7045e-05    1.3840e+02    7.9605e-02    4.6008e-02    nan    nan    0.0000e+00    nan    6.6576e-05    1.3839e+02    7.9354e-02    4.5698e-02    nan    nan    4.3386e-01    nan    6.7045e-05    1.3840e+02    7.9605e-02    4.6008e-02    nan    nan    0.0000e+00    nan    1.0000e+00    0.0000e+00    9.9920e-01    8.0298e-04    1.0000e+00    0.0000e+00    4.0824e-13    4.0824e-13    nan    -1.7807e-07    nan    4.0824e-13    nan    nan    5.8757e-03    nan    2.3096e-03    
# Index 025: Re = 300.03, Pe =  30.00, B =  30.00
3.0003e+02    3.0000e+01    1.0000e-01    3.0003e+01    9.0009e+02    5.0000e+01    3.0000e+02    2.5895e+00    3.3941e-01    1.4973e+02    4.1903e-01    4.0169e-01    2.7384e-01    8.6189e+01    4.5585e-01    4.8074e-01    4.1116e-01    2.1937e+02    3.7607e-01    3.5604e-01    2.6485e-01    8.2466e+01    4.5861e-01    4.8337e-01    3.8031e-01    1.8645e+02    3.9597e-01    3.7602e-01    2.8724e-01    9.3651e+01    4.4909e-01    4.7201e-01    4.6429e-01    2.8556e+02    3.4138e-01    3.2390e-01    5.4360e-01    4.5640e-01    3.7339e-01    6.2661e-01    7.2363e-01    2.7637e-01    -1.7510e-11    8.0567e-04    -7.9858e-04    8.3245e-04    -4.2552e-04    7.6649e-04    -1.6286e-03    nan    8.8477e-01    nan    3.4743e-01    
# Index 026: Re = 300.03, Pe =  30.00, B = 300.00
3.0003e+02    3.0000e+02    1.0000e-01    3.0003e+01    9.0009e+03    3.0000e+02    9.0000e+02    3.0675e+00    7.6972e-03    1.1223e+02    2.5637e-01    1.6929e-01    7.4350e-03    1.0796e+02    2.5729e-01    1.7005e-01    2.1502e-02    3.3155e+02    2.1212e-01    1.6759e-01    6.1494e-03    9.2945e+01    2.5753e-01    1.6490e-01    1.7821e-02    2.3780e+02    2.4982e-01    1.8529e-01    7.6317e-03    1.1139e+02    2.5649e-01    1.6925e-01    nan    nan    2.1100e-01    nan    9.8240e-01    1.7602e-02    8.6651e-01    1.3349e-01    9.9825e-01    1.7544e-03    -1.1548e-12    -2.1913e-05    1.2707e-03    -4.7094e-05    3.8457e-04    -3.0989e-06    nan    nan    8.4146e-02    nan    2.6843e-02    



# Index 027: Re = 1000.00, Pe =  10.00, B =  10.00
